Hours per Day,Hours Per Year
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
1,25
2,26
3,27
4,28
5,29
6,30
7,31
8,32
9,33
10,34
11,35
12,36
13,37
14,38
15,39
16,40
17,41
18,42
19,43
20,44
21,45
22,46
23,47
24,48
1,49
2,50
3,51
4,52
5,53
6,54
7,55
8,56
9,57
10,58
11,59
12,60
13,61
14,62
15,63
16,64
17,65
18,66
19,67
20,68
21,69
22,70
23,71
24,72
1,73
2,74
3,75
4,76
5,77
6,78
7,79
8,80
9,81
10,82
11,83
12,84
13,85
14,86
15,87
16,88
17,89
18,90
19,91
20,92
21,93
22,94
23,95
24,96
1,97
2,98
3,99
4,100
5,101
6,102
7,103
8,104
9,105
10,106
11,107
12,108
13,109
14,110
15,111
16,112
17,113
18,114
19,115
20,116
21,117
22,118
23,119
24,120
1,121
2,122
3,123
4,124
5,125
6,126
7,127
8,128
9,129
10,130
11,131
12,132
13,133
14,134
15,135
16,136
17,137
18,138
19,139
20,140
21,141
22,142
23,143
24,144
1,145
2,146
3,147
4,148
5,149
6,150
7,151
8,152
9,153
10,154
11,155
12,156
13,157
14,158
15,159
16,160
17,161
18,162
19,163
20,164
21,165
22,166
23,167
24,168
1,169
2,170
3,171
4,172
5,173
6,174
7,175
8,176
9,177
10,178
11,179
12,180
13,181
14,182
15,183
16,184
17,185
18,186
19,187
20,188
21,189
22,190
23,191
24,192
1,193
2,194
3,195
4,196
5,197
6,198
7,199
8,200
9,201
10,202
11,203
12,204
13,205
14,206
15,207
16,208
17,209
18,210
19,211
20,212
21,213
22,214
23,215
24,216
1,217
2,218
3,219
4,220
5,221
6,222
7,223
8,224
9,225
10,226
11,227
12,228
13,229
14,230
15,231
16,232
17,233
18,234
19,235
20,236
21,237
22,238
23,239
24,240
1,241
2,242
3,243
4,244
5,245
6,246
7,247
8,248
9,249
10,250
11,251
12,252
13,253
14,254
15,255
16,256
17,257
18,258
19,259
20,260
21,261
22,262
23,263
24,264
1,265
2,266
3,267
4,268
5,269
6,270
7,271
8,272
9,273
10,274
11,275
12,276
13,277
14,278
15,279
16,280
17,281
18,282
19,283
20,284
21,285
22,286
23,287
24,288
1,289
2,290
3,291
4,292
5,293
6,294
7,295
8,296
9,297
10,298
11,299
12,300
13,301
14,302
15,303
16,304
17,305
18,306
19,307
20,308
21,309
22,310
23,311
24,312
1,313
2,314
3,315
4,316
5,317
6,318
7,319
8,320
9,321
10,322
11,323
12,324
13,325
14,326
15,327
16,328
17,329
18,330
19,331
20,332
21,333
22,334
23,335
24,336
1,337
2,338
3,339
4,340
5,341
6,342
7,343
8,344
9,345
10,346
11,347
12,348
13,349
14,350
15,351
16,352
17,353
18,354
19,355
20,356
21,357
22,358
23,359
24,360
1,361
2,362
3,363
4,364
5,365
6,366
7,367
8,368
9,369
10,370
11,371
12,372
13,373
14,374
15,375
16,376
17,377
18,378
19,379
20,380
21,381
22,382
23,383
24,384
1,385
2,386
3,387
4,388
5,389
6,390
7,391
8,392
9,393
10,394
11,395
12,396
13,397
14,398
15,399
16,400
17,401
18,402
19,403
20,404
21,405
22,406
23,407
24,408
1,409
2,410
3,411
4,412
5,413
6,414
7,415
8,416
9,417
10,418
11,419
12,420
13,421
14,422
15,423
16,424
17,425
18,426
19,427
20,428
21,429
22,430
23,431
24,432
1,433
2,434
3,435
4,436
5,437
6,438
7,439
8,440
9,441
10,442
11,443
12,444
13,445
14,446
15,447
16,448
17,449
18,450
19,451
20,452
21,453
22,454
23,455
24,456
1,457
2,458
3,459
4,460
5,461
6,462
7,463
8,464
9,465
10,466
11,467
12,468
13,469
14,470
15,471
16,472
17,473
18,474
19,475
20,476
21,477
22,478
23,479
24,480
1,481
2,482
3,483
4,484
5,485
6,486
7,487
8,488
9,489
10,490
11,491
12,492
13,493
14,494
15,495
16,496
17,497
18,498
19,499
20,500
21,501
22,502
23,503
24,504
1,505
2,506
3,507
4,508
5,509
6,510
7,511
8,512
9,513
10,514
11,515
12,516
13,517
14,518
15,519
16,520
17,521
18,522
19,523
20,524
21,525
22,526
23,527
24,528
1,529
2,530
3,531
4,532
5,533
6,534
7,535
8,536
9,537
10,538
11,539
12,540
13,541
14,542
15,543
16,544
17,545
18,546
19,547
20,548
21,549
22,550
23,551
24,552
1,553
2,554
3,555
4,556
5,557
6,558
7,559
8,560
9,561
10,562
