Hour,Customer_1,Customer_2,Customer_3,Customer_4
1,5,9,14,20
2,5,9,14,20
3,5,9,14,20
4,5,9,14,20
5,5,9,14,20
6,5,9,14,20
7,5,9,14,20
8,5,14,14,30
9,6,14,14,30
10,7,14,45,30
11,3,14,45,30
12,9,44,45,30
13,9,44,45,30
14,9,44,45,30
15,9,44,45,30
16,9,33,45,30
17,4,33,45,30
18,5,33,45,30
19,6,33,45,30
20,12,33,45,28
21,12,40,45,28
22,12,40,20,28
23,3,40,20,28
24,4,9,20,28
25,5,9,14,20
26,5,9,14,20
27,5,9,14,20
28,5,9,14,20
29,5,9,14,20
30,5,9,14,20
31,5,9,14,20
32,5,14,14,30
33,6,14,14,30
34,7,14,45,30
35,3,14,45,30
36,9,44,45,30
37,9,44,45,30
38,9,44,45,30
39,9,44,45,30
40,9,33,45,30
41,4,33,45,30
42,5,33,45,30
43,6,33,45,30
44,12,33,45,28
45,12,40,45,28
46,12,40,20,28
47,3,40,20,28
48,4,9,20,28
49,5,9,14,20
50,5,9,14,20
51,5,9,14,20
52,5,9,14,20
53,5,9,14,20
54,5,9,14,20
55,5,9,14,20
56,5,14,14,30
57,6,14,14,30
58,7,14,45,30
59,3,14,45,30
60,9,44,45,30
61,9,44,45,30
62,9,44,45,30
63,9,44,45,30
64,9,33,45,30
65,4,33,45,30
66,5,33,45,30
67,6,33,45,30
68,12,33,45,28
69,12,40,45,28
70,12,40,20,28
71,3,40,20,28
72,4,9,20,28
73,5,9,14,20
74,5,9,14,20
75,5,9,14,20
76,5,9,14,20
77,5,9,14,20
78,5,9,14,20
79,5,9,14,20
80,5,14,14,30
81,6,14,14,30
82,7,14,45,30
83,3,14,45,30
84,9,44,45,30
85,9,44,45,30
86,9,44,45,30
87,9,44,45,30
88,9,33,45,30
89,4,33,45,30
90,5,33,45,30
91,6,33,45,30
92,12,33,45,28
93,12,40,45,28
94,12,40,20,28
95,3,40,20,28
96,4,9,20,28
97,5,9,14,20
98,5,9,14,20
99,5,9,14,20
100,5,9,14,20
101,5,9,14,20
102,5,9,14,20
103,5,9,14,20
104,5,14,14,30
105,6,14,14,30
106,7,14,45,30
107,3,14,45,30
108,9,44,45,30
109,9,44,45,30
110,9,44,45,30
111,9,44,45,30
112,9,33,45,30
113,4,33,45,30
114,5,33,45,30
115,6,33,45,30
116,12,33,45,28
117,12,40,45,28
118,12,40,20,28
119,3,40,20,28
120,4,9,20,28
121,5,9,14,20
122,5,9,14,20
123,5,9,14,20
124,5,9,14,20
125,5,9,14,20
126,5,9,14,20
127,5,9,14,20
128,5,14,14,30
129,6,14,14,30
130,7,14,45,30
131,3,14,45,30
132,9,44,45,30
133,9,44,45,30
134,9,44,45,30
135,9,44,45,30
136,9,33,45,30
137,4,33,45,30
138,5,33,45,30
139,6,33,45,30
140,12,33,45,28
141,12,40,45,28
142,12,40,20,28
143,3,40,20,28
144,4,9,20,28
145,5,9,14,20
146,5,9,14,20
147,5,9,14,20
148,5,9,14,20
149,5,9,14,20
150,5,9,14,20
151,5,9,14,20
152,5,14,14,30
153,6,14,14,30
154,7,14,45,30
155,3,14,45,30
156,9,44,45,30
157,9,44,45,30
158,9,44,45,30
159,9,44,45,30
160,9,33,45,30
161,4,33,45,30
162,5,33,45,30
163,6,33,45,30
164,12,33,45,28
165,12,40,45,28
166,12,40,20,28
167,3,40,20,28
168,4,9,20,28
169,5,9,14,20
170,5,9,14,20
171,5,9,14,20
172,5,9,14,20
173,5,9,14,20
174,5,9,14,20
175,5,9,14,20
176,5,14,14,30
177,6,14,14,30
178,7,14,45,30
179,3,14,45,30
180,9,44,45,30
181,9,44,45,30
182,9,44,45,30
183,9,44,45,30
184,9,33,45,30
185,4,33,45,30
186,5,33,45,30
187,6,33,45,30
188,12,33,45,28
189,12,40,45,28
190,12,40,20,28
191,3,40,20,28
192,4,9,20,28
193,5,9,14,20
194,5,9,14,20
195,5,9,14,20
196,5,9,14,20
197,5,9,14,20
198,5,9,14,20
199,5,9,14,20
200,5,14,14,30
201,6,14,14,30
202,7,14,45,30
203,3,14,45,30
204,9,44,45,30
205,9,44,45,30
206,9,44,45,30
207,9,44,45,30
208,9,33,45,30
209,4,33,45,30
210,5,33,45,30
211,6,33,45,30
212,12,33,45,28
213,12,40,45,28
214,12,40,20,28
215,3,40,20,28
216,4,9,20,28
217,5,9,14,20
218,5,9,14,20
219,5,9,14,20
220,5,9,14,20
221,5,9,14,20
222,5,9,14,20
223,5,9,14,20
224,5,14,14,30
225,6,14,14,30
226,7,14,45,30
227,3,14,45,30
228,9,44,45,30
229,9,44,45,30
230,9,44,45,30
231,9,44,45,30
232,9,33,45,30
233,4,33,45,30
234,5,33,45,30
235,6,33,45,30
236,12,33,45,28
237,12,40,45,28
238,12,40,20,28
239,3,40,20,28
240,4,9,20,28
241,5,9,14,20
242,5,9,14,20
243,5,9,14,20
244,5,9,14,20
245,5,9,14,20
246,5,9,14,20
247,5,9,14,20
248,5,14,14,30
249,6,14,14,30
250,7,14,45,30
251,3,14,45,30
252,9,44,45,30
253,9,44,45,30
254,9,44,45,30
255,9,44,45,30
256,9,33,45,30
257,4,33,45,30
258,5,33,45,30
259,6,33,45,30
260,12,33,45,28
261,12,40,45,28
262,12,40,20,28
263,3,40,20,28
264,4,9,20,28
265,5,9,14,20
266,5,9,14,20
267,5,9,14,20
268,5,9,14,20
269,5,9,14,20
270,5,9,14,20
271,5,9,14,20
272,5,14,14,30
273,6,14,14,30
274,7,14,45,30
275,3,14,45,30
276,9,44,45,30
277,9,44,45,30
278,9,44,45,30
279,9,44,45,30
280,9,33,45,30
281,4,33,45,30
282,5,33,45,30
283,6,33,45,30
284,12,33,45,28
285,12,40,45,28
286,12,40,20,28
287,3,40,20,28
288,4,9,20,28
289,5,9,14,20
290,5,9,14,20
291,5,9,14,20
292,5,9,14,20
293,5,9,14,20
294,5,9,14,20
295,5,9,14,20
296,5,14,14,30
297,6,14,14,30
298,7,14,45,30
299,3,14,45,30
300,9,44,45,30
301,9,44,45,30
302,9,44,45,30
303,9,44,45,30
304,9,33,45,30
305,4,33,45,30
306,5,33,45,30
307,6,33,45,30
308,12,33,45,28
309,12,40,45,28
310,12,40,20,28
311,3,40,20,28
312,4,9,20,28
313,5,9,14,20
314,5,9,14,20
315,5,9,14,20
316,5,9,14,20
317,5,9,14,20
318,5,9,14,20
319,5,9,14,20
320,5,14,14,30
321,6,14,14,30
322,7,14,45,30
323,3,14,45,30
324,9,44,45,30
325,9,44,45,30
326,9,44,45,30
327,9,44,45,30
328,9,33,45,30
329,4,33,45,30
330,5,33,45,30
331,6,33,45,30
332,12,33,45,28
333,12,40,45,28
334,12,40,20,28
335,3,40,20,28
336,4,9,20,28
337,5,9,14,20
338,5,9,14,20
339,5,9,14,20
340,5,9,14,20
341,5,9,14,20
342,5,9,14,20
343,5,9,14,20
344,5,14,14,30
345,6,14,14,30
346,7,14,45,30
347,3,14,45,30
348,9,44,45,30
349,9,44,45,30
350,9,44,45,30
351,9,44,45,30
352,9,33,45,30
353,4,33,45,30
354,5,33,45,30
355,6,33,45,30
356,12,33,45,28
357,12,40,45,28
358,12,40,20,28
359,3,40,20,28
360,4,9,20,28
361,5,9,14,20
362,5,9,14,20
363,5,9,14,20
364,5,9,14,20
365,5,9,14,20
366,5,9,14,20
367,5,9,14,20
368,5,14,14,30
369,6,14,14,30
370,7,14,45,30
371,3,14,45,30
372,9,44,45,30
373,9,44,45,30
374,9,44,45,30
375,9,44,45,30
376,9,33,45,30
377,4,33,45,30
378,5,33,45,30
379,6,33,45,30
380,12,33,45,28
381,12,40,45,28
382,12,40,20,28
383,3,40,20,28
384,4,9,20,28
385,5,9,14,20
386,5,9,14,20
387,5,9,14,20
388,5,9,14,20
389,5,9,14,20
390,5,9,14,20
